name,sector,is_ai,revenue_mil_y2015,revenue_mil_y2016,revenue_mil_y2017,revenue_mil_y2018,revenue_mil_y2019,revenue_mil_y2020,revenue_mil_y2021,revenue_mil_y2022,revenue_mil_y2023,employees_y2015,employees_y2016,employees_y2017,employees_y2018,employees_y2019,employees_y2020,employees_y2021,employees_y2022,employees_y2023
Hershey,"Food, Beverages & Tobacco",Non Ai,7422,7422,7440,7515,7791,7986,8478.5,8971,9419.55,21625,19885,17140,16135,15675,15330,16567.5,17236.25,18970
Hertz Global Holdings,Retailing,Non Ai,10535,10535,9480,8803,9504,9779,8557.5,7336,7702.8,30000,30000,36000,37000,,38000,30500,29333.3333333333,25000
Hess,Energy,Non Ai,21015,6575,6575,6575,6466,6510,7046.5,7583,7962.15,3045,2770,2770,2770,1708,1775,1660,1682.25,1623
Hewlett Packard Enterprise,Technology,Ai,50123,50409.42,50753.12,51154.1,51612.37,52127.92,52929.89,53932.35,55135.3,195000,195000,198900,204668,208761,211892,213587,215936,217015
HF Sinclair,Energy,Non Ai,17487,17487,17487,17487,17487,17487,17938,18389,19308.45,4074,4074,4074,4074,4074,4074,4074,4648.5,5223
Hilton Worldwide Holdings,"Hotels, Restaurants & Leisure",Non Ai,10502,11272,11663,9140,8906,9452,9452,9452,9924.6,157000,164000,169000,163000,169000,173000,173000,165000,159000
HollyFrontier,Energy,Non Ai,19764,13238,10536,14251,17715,17715,17715,17715,18600.75,2686,2704,2676,3522,3622,3622,3622,3622,3622
Home Depot,Retailing,Non Ai,83176,88519,94595,100904,108203,110225,130691,151157,158714.85,371000,385000,406000,413000,413000,415700,453150,442975,471600
Honeywell International,Industrials,Non Ai,40306,38581,39302,40534,41802,36709,35550.5,34392,36111.6,127000,129000,131000,131000,114000,113000,106000,105250,97000
Hormel Foods,"Food, Beverages & Tobacco",Non Ai,9316,9264,9523,9168,9546,9497,10441.5,11386,11955.3,20400,20700,21100,20200,20100,18800,19400,19725,20000
Host Hotels & Resorts,Financials,Non Ai,5354,5387,5488,5488,5488,5488,5488,5488,5762.4,251,240,220,220,220,220,220,220,220
Howmet Aerospace,Aerospace & Defense,Non Ai,14192,14192,14192,14192,14192,14192,14192,14192,14901.6,41700,41700,,41700,41700,41700,41700,41700,41700
HP,Technology,Ai,111454,112090.88,112855.14,113746.77,114765.78,115912.16,117695.42,119924.5,122599.4,302000,287000,292740,301229,307253,311861,314355,317812,319401
HRG Group,Household Products,Non Ai,5963,5816,6403,6403,6403,6403,6403,6403,6723.15,14427,15922,16021,16021,16021,16021,16021,16021,16021
Hugging Face,AI Software/Tools,Ai,0,8.78,9.65,10.62,11.68,12.85,14.13,15.54,17.09,0,351,358,368,375,380,383,387,388
Humana,Health Care,Non Ai,48500,54289,54379,54379,56912,64888,73976,83064,87217.2,57000,50100,51600,,41600,46000,70750,55450,67100
Huntington Bancshares,Financials,Non Ai,5655,5655,5655,5655,5655,5655,5655,5655,5937.75,15664,15664,15664,15664,15664,15664,15664,17792,19920
Huntington Ingalls Industries,Aerospace & Defense,Non Ai,6957,7020,7068,7441,8176,8899,9211.5,9524,10000.2,38441,35995,37000,38000,40000,42000,43000,42000,43000
Huntsman,Chemicals,Non Ai,11578,10299,9657,10592,11527,8342,8397.5,8453,8875.65,16000,15000,15000,10000,10000,10000,9500,8500,7000
IBM,Technology,Ai,94128,94665.87,95311.32,96064.35,96924.95,97893.12,99399.17,101281.73,103540.8,412775,411798,420033,432213,440857,447469,451048,456009,458289
Icahn Enterprises,Energy,Non Ai,19157,19157,19157,19157,19157,19157,19157,19157,20114.85,65577,65577,65577,65577,65577,65577,65577,65577,65577
Icahn Enterprises,Financials,Non Ai,15272,15272,16348,21744,18979,8992,10160,11328,11894.4,73807,,90980,89034,29034,28033,23784.5,24287.25,20041
